Quote,Author,About the Author,Other Tags
"“It is not a lack of love, but a lack of friendship that makes unhappy marriages.”",Friedrich Nietzsche,https://quotes.toscrape.com//author/Friedrich-Nietzsche,friendship:lack-of-friendship:lack-of-love:love:marriage:unhappy-marriage
"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",Mark Twain,https://quotes.toscrape.com//author/Mark-Twain,books:contentment:friends:friendship:life
"“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”",Bob Marley,https://quotes.toscrape.com//author/Bob-Marley,friendship
"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”",Jane Austen,https://quotes.toscrape.com//author/Jane-Austen,friendship:love
“If I had a flower for every time I thought of you...I could walk through my garden forever.”,Alfred Tennyson,https://quotes.toscrape.com//author/Alfred-Tennyson,friendship:love
