Quote,Author,About the Author,Other Tags
“The reason I talk to myself is because I’m the only one whose answers I accept.”,George Carlin,https://quotes.toscrape.com//author/George-Carlin,humor:insanity:lies:lying:self-indulgence:truth
“A lie can travel half way around the world while the truth is putting on its shoes.”,Mark Twain,https://quotes.toscrape.com//author/Mark-Twain,misattributed-mark-twain:truth
"“The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”",J.K. Rowling,https://quotes.toscrape.com//author/J-K-Rowling,truth
“Never tell the truth to people who are not worthy of it.”,Mark Twain,https://quotes.toscrape.com//author/Mark-Twain,truth
